StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
0,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:00:50+00:00,Press button in window,Google Chrome - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Google Chrome - 1 running window']\n""]",2,Open roadmap,e7a9638a-07a3-4b8b-8a5f-cf7e5247632e,5232,Press button in window,commondataservice/projectonline (project roadmap),Projectonline
1,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:00:54+00:00,Click UI element in window,Hyperlink 'Project' in Pane 'Microsoft Office Home - Google Chrome - Person 1',chrome,Microsoft Office Home - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'Microsoft Office Home - Google Chrome - Person 1\\'']['Hyperlink \\'Project\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 2 OffsetY: -4 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",3,Open roadmap,e7a9638a-07a3-4b8b-8a5f-cf7e5247632e,5233,chromeClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
2,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:04+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",4,Open roadmap,e7a9638a-07a3-4b8b-8a5f-cf7e5247632e,5234,Press button in window,commondataservice/projectonline (project roadmap),Projectonline
3,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:07+00:00,Select tab in window,"Tab Item 'New Project (1) Press Enter to select or press Shift+F10 for more options' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSelectTab Tab: appmask['Pane \\'General    Teams, Main Window\\'']['Tab Item \\'New Project (1) Press Enter to select or press Shift+F10 for more options\\'']\n""]",5,Create Tasks,e7a9638a-07a3-4b8b-8a5f-cf7e5247632e,5235,TeamsSelect tab in window,commondataservice/projectonline (project roadmap),Projectonline
4,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:14+00:00,Select menu option in window,"Menu Item 'Add row' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSelectMenuOption Control: appmask['Pane \\'General    Teams, Main Window\\'']['Menu Item \\'Add row\\'']\n""]",6,Create Tasks,2b476c11-e40d-4455-be41-732fe6500910,5236,TeamsSelect menu option in window,commondataservice/projectonline (project roadmap),Projectonline
5,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:23+00:00,Populate text field in window,"Edit 'Row title' in Pane 'General    Teams, Main Window'; Text:'Guideline Training'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPopulateTextField TextField: appmask['Pane \\'General    Teams, Main Window\\'']['Edit \\'Row title\\''] Text: 'Guideline Training' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",7,Create Tasks,2b476c11-e40d-4455-be41-732fe6500910,5237,TeamsPopulate text field in window,commondataservice/projectonline (project roadmap),Projectonline
6,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:25+00:00,Click UI element in window,"Combo Box 'Owner' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Combo Box \\'Owner\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 8 OffsetY: -5 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",8,Create Tasks,2b476c11-e40d-4455-be41-732fe6500910,5238,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
7,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:27+00:00,Send keys,TextToSend:'Name',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: 'Name'\n""]",9,Create Tasks,2b476c11-e40d-4455-be41-732fe6500910,5239,Send keys,commondataservice/projectonline (project roadmap),Projectonline
8,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:35+00:00,Click UI element in window,"List Item 'Name Surname ExeLead' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['List Item \\'Name Surname ExeLead\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 46 OffsetY: 2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopLeft\n""]",10,Create Tasks,2b476c11-e40d-4455-be41-732fe6500910,5240,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
9,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:40+00:00,Select menu option in window,"Menu Item 'Connect to a project' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSelectMenuOption Control: appmask['Pane \\'General    Teams, Main Window\\'']['Menu Item \\'Connect to a project\\'']\n""]",11,Connect project with task tracker,1662531f-fe9d-483a-96fe-1bdbc821f5af,5241,TeamsSelect menu option in window,commondataservice/projectonline (project roadmap),Projectonline
10,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:43+00:00,Click UI element in window,"Group in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Group'] ClickType: UIAutomationClickTypeLeftClick OffsetX: 57 OffsetY: 22 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopLeft\n""]",12,Connect project with task tracker,1662531f-fe9d-483a-96fe-1bdbc821f5af,5242,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
11,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:46+00:00,Click UI element in window,"Data Item 'Project Demo' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Data Item \\'Project Demo\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 39 OffsetY: -6 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",13,Connect project with task tracker,1662531f-fe9d-483a-96fe-1bdbc821f5af,5243,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
12,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:01:58+00:00,Press button in window,"Button 'Connect' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPressButton Button: appmask['Pane \\'General    Teams, Main Window\\'']['Button \\'Connect\\'']\n""]",14,Connect project with task tracker,1662531f-fe9d-483a-96fe-1bdbc821f5af,5244,TeamsPress button in window,commondataservice/projectonline (project roadmap),Projectonline
13,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:02:17+00:00,Set checkbox state in window,"Check Box 'Guideline    status: Unchecked' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSetCheckboxState Checkbox: appmask['Pane \\'General    Teams, Main Window\\'']['Check Box \\'Guideline    status: Unchecked\\''] CheckboxState: UIAutomationCheckboxStateUnChecked\n""]",15,Connect project with task tracker,1662531f-fe9d-483a-96fe-1bdbc821f5af,5245,TeamsSet checkbox state in window,commondataservice/projectonline (project roadmap),Projectonline
14,09bb70ad-aa5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:02:21+00:00,Press button in window,"Button 'Update' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPressButton Button: appmask['Pane \\'General    Teams, Main Window\\'']['Button \\'Update\\'']\n""]",16,Connect project with task tracker,1662531f-fe9d-483a-96fe-1bdbc821f5af,5246,TeamsPress button in window,commondataservice/projectonline (project roadmap),Projectonline
0,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:20+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",2,Open roadmap,601e0a03-4bc4-4b77-89a4-29a8bcb53ca9,5257,Select menu option in window,commondataservice/projectonline (project roadmap),Projectonline
1,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:22+00:00,Click UI element in window,List Item 'Microsoft Office Home - Google Chrome' in List 'Task Switcher',,Task Switcher,"[""UIAutomationClick Element: appmask['List \\'Task Switcher\\'']['List Item \\'Microsoft Office Home - Google Chrome\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 3 OffsetY: 23 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",3,Open roadmap,601e0a03-4bc4-4b77-89a4-29a8bcb53ca9,5258,Click UI element in window,commondataservice/projectonline (project roadmap),Projectonline
2,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:29+00:00,Select menu option in window,Menu Item 'App launcher' in Pane 'Microsoft Office Home - Google Chrome - Person 1',chrome,Microsoft Office Home - Google Chrome - Person 1,"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'Microsoft Office Home - Google Chrome - Person 1\\'']['Menu Item \\'App launcher\\'']\n""]",4,Open roadmap,601e0a03-4bc4-4b77-89a4-29a8bcb53ca9,5259,chromeSelect menu option in window,commondataservice/projectonline (project roadmap),Projectonline
3,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:36+00:00,Click UI element in window,Hyperlink 'Project' in Pane 'Microsoft Office Home - Google Chrome - Person 1',chrome,Microsoft Office Home - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'Microsoft Office Home - Google Chrome - Person 1\\'']['Hyperlink \\'Project\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 1 OffsetY: 13 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",5,Create Tasks,601e0a03-4bc4-4b77-89a4-29a8bcb53ca9,5260,chromeClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
4,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:44+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",6,Create Tasks,601e0a03-4bc4-4b77-89a4-29a8bcb53ca9,5261,Press button in window,commondataservice/projectonline (project roadmap),Projectonline
5,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:47+00:00,Click UI element in window,"Hyperlink 'Profile    More options' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Profile    More options\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -36 OffsetY: -6 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",7,Create Tasks,601e0a03-4bc4-4b77-89a4-29a8bcb53ca9,5262,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
6,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:50+00:00,Select tab in window,"Tab Item 'New Project (1) Press Enter to select or press Shift+F10 for more options' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSelectTab Tab: appmask['Pane \\'General    Teams, Main Window\\'']['Tab Item \\'New Project (1) Press Enter to select or press Shift+F10 for more options\\'']\n""]",8,Create Tasks,601e0a03-4bc4-4b77-89a4-29a8bcb53ca9,5263,TeamsSelect tab in window,commondataservice/projectonline (project roadmap),Projectonline
7,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:18:56+00:00,Select menu option in window,"Menu Item 'Add row' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSelectMenuOption Control: appmask['Pane \\'General    Teams, Main Window\\'']['Menu Item \\'Add row\\'']\n""]",9,Create Tasks,54fccbd9-a7ec-4b36-8927-c10370872db1,5264,TeamsSelect menu option in window,commondataservice/projectonline (project roadmap),Projectonline
8,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:19:05+00:00,Populate text field in window,"Edit 'Row title' in Pane 'General    Teams, Main Window'; Text:'Conduct Qualification Task'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPopulateTextField TextField: appmask['Pane \\'General    Teams, Main Window\\'']['Edit \\'Row title\\''] Text: 'Conduct Qualification Task' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",10,Create Tasks,54fccbd9-a7ec-4b36-8927-c10370872db1,5265,TeamsPopulate text field in window,commondataservice/projectonline (project roadmap),Projectonline
9,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:19:08+00:00,Click UI element in window,"Group 'Row Time line container Selected' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Group \\'Row Time line container Selected\\''] ClickType: UIAutomationClickTypeLeftClick\n""]",11,Create Tasks,54fccbd9-a7ec-4b36-8927-c10370872db1,5266,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
10,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:19:11+00:00,Send keys,TextToSend:'Name',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: 'Name'\n""]",12,Create Tasks,54fccbd9-a7ec-4b36-8927-c10370872db1,5267,Send keys,commondataservice/projectonline (project roadmap),Projectonline
11,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:19:17+00:00,Click UI element in window,"List Item 'Name Surname SME' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['List Item \\'Name Surname SME\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 14 OffsetY: 1 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",13,Create Tasks,54fccbd9-a7ec-4b36-8927-c10370872db1,5268,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
12,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:19:22+00:00,Select menu option in window,"Menu Item 'Connect to a project' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSelectMenuOption Control: appmask['Pane \\'General    Teams, Main Window\\'']['Menu Item \\'Connect to a project\\'']\n""]",14,Connect project with task tracker,9f1b7403-d6a3-4f13-96a5-a545b6a2352f,5269,TeamsSelect menu option in window,commondataservice/projectonline (project roadmap),Projectonline
13,46aaebe7-ad5c-ec11-8f8f-002248302895,b24c7ca3-815c-ec11-8f8f-002248302895,2021-12-14T07:19:24+00:00,Click UI element in window,"Group in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Group'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -27 OffsetY: 15 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",15,Connect project with task tracker,9f1b7403-d6a3-4f13-96a5-a545b6a2352f,5270,TeamsClick UI element in window,commondataservice/projectonline (project roadmap),Projectonline
